programTitle,abstract,exportPhrase,topics,publicPOCEmail,contactName,officeName,phone,description,website
Commercial News USA,"Commercial News USA, the official export promotion magazine of the United States Department of Commerce, is designed to help American companies promote products and services to international buyers in more than 178 countries--at a fraction of the cost of other advertising options. Just one listing can produce a substantial return on investment, helping U.S. exporters find agents, distributors and buyers around the world.\n\nAdvertising in Commercial News USA provides American companies with an unparalleled opportunity to market products and services around the world. American companies that participate in Commercial News USA have the potential to increase export sales with a minimal investment. Advertising in the magazine also can be a cost-effective market research tool for companies to help them assess potential new market opportunities.\n\nCommercial News USA is distributed bi-monthly to readers outside the United States. It is published six times per year. The magazine, which is free, is mailed directly to qualified recipients and distributed by U.S. and Foreign Commercial Service personnel at U.S. embassies and consulates worldwide. Each print version of the magazine reaches 250,000 readers. A link to the digital edition is sent out to more than 200,000 international buyers. Free translation for program participants is available online in Arabic, Chinese, French, Korean, Portuguese and Spanish.\n\nâ€¢Direct Response. New customers around the world will read about your product or service and will receive information to contact you directly. Address-coded trade leads make it easy to track results.\n\nâ€¢Broad Distribution. Worldwide circulation to a quarter million international buyers in 178 countries. Direct-mailed to qualified decision-makers worldwide.\n\nâ€¢Built-In Credibility. Distributed by U.S. Foreign and Commercial Service officials at embassies and consulates, Commercial News USA enjoys a unique credibility that no other publication can offer.\n\nâ€¢Follow-Up Support. The U.S. Department of Commerce offers free, individual export counseling at any of the more than 100 U.S. Export Assistance Centers across the country.\n\n","Learn, Ready, Exporting","Connect to foreign buyers, Marketing, Sales",export@thinkglobal.us,Greg Sandler,,1-800-581-8533,"Commercial News USA is the official United States Department of Commerce showcase for American-made products and services.\n\nThe catalog-style magazine is designed to help American companies promote products and services to buyers in more than 178 countries--at a fraction of the cost of other advertising options.\n\n\n\nCommercial News USA is distributed bi-monthly to readers outside the United States. The magazine, which is free, is mailed directly to qualified recipients and distributed by U.S. and Foreign Commercial Service personnel at U.S. embassies and consulates worldwide.\n\n",www.export.gov/cnusa
Export Trade Certificate of Review ,"The Export Trade Certificate of Review program offers U.S. firms a way to work together and gain a competitive edge in selling U.S. goods and services around the world. It is intended to encourage teamwork among firms so that they can achieve economies of scale, share export costs and risks and increase export profitability. The Export Trade Certificate of Review Program encourages the formation of U.S. export joint ventures that are designed to reduce export shipping costs and other export-related expenses. U.S. firms seek federal antitrust protection under the program so they can coordinate on exporting without fear of exposure under U.S. antitrust laws. Any individual who is a U.S. resident, a U.S. partnership or corporation, or a state or local government entity may apply. Associations or combinations of these entities may also apply.  Follow this link for contact information: http://trade.gov/contact.asp",,"Counseling, Regulations",oetca@ita.doc.gov,,International Trade Administration (ITA),202-482-5131,The Export Trade Certificate of Review Program helps U.S. firms that are interested in teaming-up to reduce their export costs and enhance their competitiveness in export markets. ,http://www.trade.gov/etca
Export University,"This online training program provides international business skills. There are three levels of programs in Export University: Introductory, Intermediate and Advanced. The training is delivered by international trade practitioners, people working in international trade and exports. On a level important to you and your business, there are many reasons to export: increasing and diversifying sales, expanding to new markets, becoming aware of areas where investment may be beneficial, ensuring global competitiveness and adaptability, extending product life cycles through entering into additional markets which may be less developed.  Follow this link for contact information: http://www.exportuniversity.com/How_to_Find_Courses_by_State.html.","Learn, Ready","Connect to foreign buyers, Marketing, Regulations, Sales, Training or Mentoring",tic@trade.gov,Trade Information Center,International Trade Administration (ITA),(800) 872-8723,"Basic information, methods and strategies to help you export your products successfully abroad. ",http://www.exportuniversity.com/
Exporting Strategic Partnership Program,"The Strategic Partnership Program promotes exporting and the government resources available to small and medium-sized businesses to export. The partnership program brings technical assistance and counseling from top international-focused firms to U.S. exporters to help promote job creation here at home. With 17 private sector and two trade association partners, the Strategic Partnership Program provides U.S. exporters with easy access to data and information covering the entire export cycle  financial, shipping and legal issues. Through these innovative partnerships, ITA supports national export objectives by communicating to millions of U.S. businesses about export opportunities and how the U.S. Commercial Service can lead them to success. In doing so, the Strategic Partnership Program creates triple-win scenarios:Â  National export objectives are supported; Partners deliver valuable information to help their customers and members grow; and More small- and medium-sized businesses get the export assistance they need to be successful and maintain good American jobs.  \n\n\n\nFollow this link for contact information:  http://export.gov/contactus/index.asp\n\n",,"Counseling, Marketing, Regulations",spp@trade.gov,Matthew Kennedy,International Trade Administration (ITA),202-482-1636,The Strategic Partnership Program promotes exporting and the government resources available to small and medium-sized businesses to export.\n\n,http://www.export.gov/CSPartners/eg_main_017386.asp
Featured U.S. Exporters Directory,"The International Trade Administration's Featured U.S. Exporters (FU.S.E) is a global series of online directories featuring U.S. export products and services on U.S. Commerce Department Commercial Service websites around the world. A fee based service, FU.S.E gives companies an opportunity to reach prospects in the local language of the target market. The main goals of the program include local language promotion and increased visibility. Export-ready companies that are seeking to export U.S. products and services are eligible for FU.S.E. Some products and services may not be eligible for FU.S.E listings in certain markets. Follow this link for contact information: http://export.gov/usoffices/index.asp",,"Connect to foreign buyers, Marketing, Sales",Laura.McCall@trade.gov,Laura McCall,International Trade Administration (ITA),206-553-5615 ,The Featured U.S. Exporters directory is an online listing of U.S. products and services featured on select U.S. & Foreign Commercial Services websites worldwide. It gives companies an opportunity to reach prospects in the local language of the target market. The main goals of the program include local language promotion and increased visibility.\n\n,http://export.gov/fuse/fuseinformation037538.asp
Foreign Trade Zones,Foreign-Trade Zones are secure areas under supervision of U.S. Customs and Border Protection.  Benefits include: delayed or reduced payment of duty rates on foreign goods that enter the U.S. market; no duties on imported goods that are later re-exported; reductions in merchandise processing fees. Follow this link for contact information: http://ia.ita.doc.gov/ftzpage/grantee/staff.html,"Exporting, Expand","Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Training or Mentoring",tic@trade.gov,,International Trade Administration (ITA),(800) 872-8723,"U.S. Foreign-Trade Zones can help reduce a business' production, transaction, and logistics-related costs.",http://ia.ita.doc.gov/ftzpage/
Free Trade Agreements,"If you are looking to export your product or service, the United States may have negotiated favorable treatment for your service or product through a Free Trade Agreement (FTA).  This treatment should make it easier to export your product to or offer your service in the FTA countryâ€™s market and provide your product or service with a competitive advantage.  The main goals of FTAs are to offer preferential tariff rates, reduce barriers to U.S. exports, protect U.S. interests, and enhance the rule of law in the FTA partner country.  The reduction of trade barriers and the creation of a more stable and transparent trading and investment environment make it easier and cheaper for U.S. companies to export their products and services to trading partner markets.  The United States has 11 FTAs in force with 17 countries.  In addition, the United States has negotiated FTAs with Korea, Panama and Colombia, but these agreements have not yet entered into force.  The United States is also in the process of negotiating a regional FTA, the Trans-Pacific Partnership, with Australia, Brunei Darussalam, Chile, Malaysia, New Zealand, Peru, Singapore, and Vietnam.  For more information on how to take advantage of FTAs, contact tic@trade.gov or visit export.gov/fta. ","Exporting, Expand",Counseling,tic@trade.gov,Trade Information Center,,(800) 872-8727,"If you are looking to export your product or service, the United States may have negotiated favorable treatment for your service or product through a Free Trade Agreement (FTA).",http://www.export.gov/fta
Global Teams International Trade Assistance,The International Trade Administration's Global Teams are trade specialist working groups organized by industry and international region. The teams provide targeted trade promotion activities and export information to U.S. companies. ITA Global Teams provide companies with industry and overseas market-specific information; conduct matchmaking programs at domestic and international trade fairs; and offer specialized seminars and webinars on industry and regional topics of interest to U.S. exporters. Over 500 people serve on one or more of the 15 industry focused and four regional focused teams. Global Team members develop in-depth industry and market expertise through their association with major trade associations and their involvement in major trade shows. Business can best leverage the knowledge and exporting opportunities of the Global Teams through a series of industry websites that act as the starting point for the industry teams.  Follow this link for contact information:  http://export.gov/usoffices/index.asp.\n\n,,"Connect to foreign buyers, Counseling",tic@trade.gov,U.S. Commercial Service,,(800) 872-8723,"The Global Teams program provides companies with industry and overseas market-specific information and counseling, conducts matchmaking programs at domestic and international trade fairs, and offers specialized seminars and webinars on industry and regional topics of interest to U.S. exporters.\n\n",http://www.export.gov/industry
International Business Matchmaking,"The U.S. Commercial Service, the trade promotion arm of the U.S. Department of Commerce's International Trade Administration, provides Business Matchmaking support to maximize U.S. companies' international business development efforts, helping them to identify, screen, and meet prospective partners, agents, distributors, and customers. The matchmaking service includes: partner search, personalized matchmaking, trade missions, trade shows, and in-country promotions. Follow this link for contact information: http://www.trade.gov/cs/states/csinyourstate.asp",,"Connect to foreign buyers, Counseling, Marketing, Regulations, Sales, Tariffs, Training or Mentoring",tic@trade.gov,Trade Information Center,International Trade Administration (ITA),(800) 872-8723,"The U.S. Commercial Service provides international business matchmaking services to maximize U.S. companies' international business development efforts and help them to identify, screen, and meet prospective partners, agents, distributors, and customers.",http://www.trade.gov/cs/services.asp#businessmatchmaking
International Buyer Program,"The International Buyer Program is a joint government-industry effort that increases U.S. export sales by promoting international attendance at major U.S. industry exhibitions.Â  Benefits include: Access to hundreds of current international trade leads in your industry; Hands-on export counseling, marketing analysis, and matchmaking services by country and industry experts from the U.S. Commercial Service; Use of an on-site International Business Center, where your company can meet privately with prospective international buyers, prospective sales representatives, and business partners and obtain assistance from our experienced U.S. Commercial Service staff. Follow this link for contact information: http://export.gov/usoffices/index.asp",,"Connect to foreign buyers, Counseling, Marketing, Sales",tic@trade.gov,,International Trade Administration (ITA),,"The International Buyer Program provides practical, hands-on assistance at select U.S. trade shows to U.S. exhibitors interested in exporting and making contacts with prospective qualified overseas trade partners. This assistance includes export counseling, marketing analysis, and matchmaking services.",http://www.export.gov/IBP
